name,datetime,sunrise,sunset,temp,tempmax,tempmin,feelslike,humidity,windspeed,cloudcover,visibility,precipprob
Semenyih,1/1/2022,2022-01-01T07:17:28,2022-01-01T19:14:41,25.9,30,23.5,27.2,89.5,11.2,48.7,8.7,100
Semenyih,2/1/2022,2022-01-02T07:17:55,2022-01-02T19:15:11,25,27.3,24,25.3,93.7,9.9,49.9,8.1,100
Semenyih,3/1/2022,2022-01-03T07:18:22,2022-01-03T19:15:40,25.4,28.3,23.9,26.5,91.5,8.1,46.2,8.5,100
Semenyih,4/1/2022,2022-01-04T07:18:48,2022-01-04T19:16:08,26.9,32.2,24,28.9,84.8,13,45,8.9,100
Semenyih,5/1/2022,2022-01-05T07:19:14,2022-01-05T19:16:37,26.9,32,24.3,28.9,85.1,13.5,45,9.2,100
Semenyih,6/1/2022,2022-01-06T07:19:39,2022-01-06T19:17:05,28,33,24,30.9,79.7,13,39.2,10,0
Semenyih,7/1/2022,2022-01-07T07:20:03,2022-01-07T19:17:33,28.1,33,25,31.5,80.5,12.3,39.8,9.4,100
Semenyih,8/1/2022,2022-01-08T07:20:27,2022-01-08T19:18:00,28.7,34,25,31.7,75.2,17.4,41.6,9.6,0
Semenyih,9/1/2022,2022-01-09T07:20:51,2022-01-09T19:18:27,28.6,33.8,25.1,32.1,78.7,13.6,39.6,9.9,100
Semenyih,10/1/2022,2022-01-10T07:21:13,2022-01-10T19:18:54,28.4,33.2,26,31.4,77.3,11.1,38.8,9.8,100
Semenyih,11/1/2022,2022-01-11T07:21:35,2022-01-11T19:19:20,27.6,32,24.3,29.6,79,8.1,37.6,9.4,100
Semenyih,12/1/2022,2022-01-12T07:21:57,2022-01-12T19:19:45,28.1,34,24,29.8,71,12.9,37.1,9.8,0
Semenyih,13/1/2022,2022-01-13T07:22:18,2022-01-13T19:20:10,28.4,33.7,24.6,29.8,64.3,15.6,37.1,10,100
Semenyih,14/1/2022,2022-01-14T07:22:38,2022-01-14T19:20:35,28.1,33.3,23.7,29.5,65.9,12.3,37,9.9,100
Semenyih,15/1/2022,2022-01-15T07:22:57,2022-01-15T19:20:59,28.5,33.8,24.7,30.5,65.2,12.9,37,10,0
Semenyih,16/1/2022,2022-01-16T07:23:16,2022-01-16T19:21:22,28.5,34,23.9,31,70.9,16.3,40.2,10,0
Semenyih,17/1/2022,2022-01-17T07:23:33,2022-01-17T19:21:45,28.5,33.8,24.4,31.7,74.8,13,41.6,9.8,0
Semenyih,18/1/2022,2022-01-18T07:23:50,2022-01-18T19:22:07,27.6,31.4,24.3,29.8,77.2,13,40.1,9.9,100
Semenyih,19/1/2022,2022-01-19T07:24:07,2022-01-19T19:22:28,27.3,32.2,23.6,28.6,76,11.8,40.9,9.5,100
Semenyih,20/1/2022,2022-01-20T07:24:22,2022-01-20T19:22:49,27.6,33,23.3,29.7,77.4,8.7,40.2,9.3,100
Semenyih,21/1/2022,2022-01-21T07:24:37,2022-01-21T19:23:09,27.9,33.6,23.3,30.4,76.2,10,39.6,9.8,100
Semenyih,22/1/2022,2022-01-22T07:24:51,2022-01-22T19:23:29,26.9,31,23.4,28.6,83.1,12.3,42.1,9.5,100
Semenyih,23/1/2022,2022-01-23T07:25:03,2022-01-23T19:23:48,28,32.7,24.7,30.4,78.9,13,39.7,9.2,100
Semenyih,24/1/2022,2022-01-24T07:25:16,2022-01-24T19:24:06,27.4,32,25,29.7,81.3,13,40.3,9.5,0
Semenyih,25/1/2022,2022-01-25T07:25:27,2022-01-25T19:24:23,26.7,31.3,24,28.4,83.9,11.7,43.3,9.2,100
Semenyih,26/1/2022,2022-01-26T07:25:37,2022-01-26T19:24:40,27.5,33,24.3,29.7,81.3,11.1,37.3,8.9,0
Semenyih,27/1/2022,2022-01-27T07:25:47,2022-01-27T19:24:56,27.6,33.8,23.4,30,79.6,11.7,37.2,9.3,100
Semenyih,28/1/2022,2022-01-28T07:25:55,2022-01-28T19:25:11,27.4,33.8,23.3,29.3,79.6,17.5,39.3,9.3,100
Semenyih,29/1/2022,2022-01-29T07:26:03,2022-01-29T19:25:25,28.2,34,24.4,30.9,76.2,14.1,39.3,9.5,0
Semenyih,30/1/2022,2022-01-30T07:26:10,2022-01-30T19:25:39,27.7,32.3,25.3,30.5,80.6,13.6,39.4,9.6,100
Semenyih,31/1/2022,2022-01-31T07:26:16,2022-01-31T19:25:52,27.9,33,24.6,30.8,79.9,11.7,44.7,9,100
Semenyih,1/2/2022,2022-02-01T07:26:21,2022-02-01T19:26:04,28.1,33,25,31.1,78.9,12.3,44.3,9.6,100
Semenyih,2/2/2022,2022-02-02T07:26:25,2022-02-02T19:26:15,27.8,33.3,24.3,30.1,78.1,11.1,39.7,9.7,100
Semenyih,3/2/2022,2022-02-03T07:26:29,2022-02-03T19:26:26,28,34,24.7,29.9,76.1,11.7,41.6,9.9,100
